id,name,age,roll
1103,Jeet,53,42
1104,Bahadurjit,24,59
1105,Hiral,55,55
1106,Harini,58,7
1107,Faris,50,63
1108,Frederick,45,54
1109,Yashodhara,56,10
1110,Triveni,22,34
1111,Reva,25,6
1112,Manbir,41,92
1113,Anamika,40,10
1114,Qushi,25,59
1115,Bhanumati,31,81
1116,Girindra,26,10
1117,Vasatika,57,35
1118,Sarthak,55,81
1119,Vanya,25,61
1120,Pranav,50,69
1121,Chandran,59,45
1122,Meghana,34,66
1123,William,57,17
1124,Finn,58,94
1125,Harish,38,76
1126,Ojasvi,27,15
1127,Amrita,25,76
1128,Varsha,18,11
1129,Yashodhara,31,17
1130,Dominic,42,51
1131,Chaman,38,99
1132,Nandini,52,17
1133,Gaurangi,60,91
1134,Abha,60,20
1135,Joshua,59,51
1136,Shravya,39,24
1137,Yauvani,44,59
1138,Charan,33,42
1139,Omya,59,15
1140,Faraj,24,80
1141,Rushil,18,33
1142,Tejas,53,54
1143,Vansha,29,25
1144,Charvi,23,20
1145,Chaitanya,20,78
1146,Rachana,43,4
1147,Fitan,49,84
1148,Ojasvi,57,60
1149,Sai,23,91
1150,Ekiya,40,65
1151,Dominic,59,36
1152,Chatresh,31,20
1153,Quincy,49,98
1154,Nidra,36,75
1155,Nitara,23,67
1156,Wazir,41,82
1157,Pushti,48,32
1158,Wazir,51,16
1159,Parth,48,95
1160,Jagat,49,53
1161,Ansh,44,76
1162,Ekalinga,18,91
1163,Viraj,32,21
1164,Damyanti,38,4
1165,Wishi,50,24
1166,Zinal,42,100
1167,Devika,23,28
1168,Rudra,50,7
1169,Rudra,32,29
1170,Aadhya,31,89
1171,Kashish,59,84
1172,Hiral,35,98
1173,Arya,21,26
1174,Vincent,31,60
1175,Daniel,51,10
1176,Aachal,36,97
1177,Dhriti,39,38
1178,Edhitha,29,48
1179,Unni,42,37
1180,Priya,20,55
1181,Sachi,46,66
1182,Harita,35,25
1183,Jalsa,37,87
1184,Victor,30,46
1185,Amruta,24,41
1186,Darpan,21,82
1187,Utkarsh,30,34
1188,Amruta,19,30
1189,Krish,25,5
1190,Diya,46,40
1191,Garima,38,57
1192,Avni,23,2
1193,Alexander,54,47
1194,Yuvraj,37,52
1195,Unnati,40,49
1196,Qabil,20,22
1197,Yashoda,37,22
1198,Vrishti,20,62
1199,Kabir,21,65
1200,Charles,57,18
1201,Finn,29,35
1202,Zashil,46,72
1203,Yoshita,54,21
1204,Indira,56,35
1205,Leena,49,12
1206,Neelima,57,48
1207,David,38,8
1208,Max,50,57
1209,Bakhshi,40,27
1210,Zinal,28,15
1211,Upma,20,60
1212,Andrew,38,15
1213,Ubika,46,22
1214,Wishi,24,20
1215,Yashodhara,50,52
1216,William,43,65
1217,Kashvi,24,46
1218,Arunima,52,6
1219,Zarna,54,65
1220,Mohammed,53,10
1221,Ikbal,41,32
1222,Anusha,24,30
1223,Yachana,39,57
1224,Radha,58,56
1225,Rachit,57,15
1226,Ayushman,45,60
1227,Arin,42,30
1228,Veda,33,94
1229,Watika,32,54
1230,Wishi,34,38
1231,Anika,54,7
1232,Wyatt,28,50
1233,Ishwar,35,35
1234,Orinder,39,46
1235,Krishna,58,46
1236,Gautami,43,80
1237,Deepa,53,69
1238,Aradhana,26,83
1239,Vasana,53,65
1240,Triya,39,27
1241,Jagvi,40,74
1242,Orinder,37,83
1243,Arin,18,60
1244,Nitesh,27,48
1245,Aarav,44,48
1246,Veda,41,9
1247,Dhruv,57,64
1248,Bhavini,24,54
1249,Harish,33,42
1250,Sanya,38,71
1251,Yahvi,21,36
1252,Nicholas,44,32
1253,Geetika,40,83
1254,Avni,18,73
1255,Ishani,57,91
1256,Dakshesh,44,50
1257,Pooja,21,48
1258,Abhimanyu,23,34
1259,Azaan,57,81
1260,Hitesh,43,20
1261,Mekhala,41,74
1262,Rachit,55,75
1263,Vidhi,38,23
1264,Bhavini,45,40
1265,Ekanta,33,51
1266,Elijah,59,82
1267,Harsh,23,67
1268,Raagini,53,80
1269,Shivansh,37,5
1270,Radhika,48,51
1271,Nitesh,60,92
1272,Rohan,43,69
1273,Neelima,24,79
1274,Pahal,54,72
1275,Xavier,51,19
1276,Andrew,33,70
1277,Eshana,18,83
1278,Turvi,54,10
1279,Sai,18,98
1280,Ishwar,26,98
1281,Ubika,42,66
1282,Radha,18,72
1283,Aditya,32,88
1284,Sara,19,82
1285,Anika,43,58
1286,Tanish,32,6
1287,Vedhika,30,43
1288,Chakradhar,52,36
1289,Harini,20,93
1290,Triveni,27,37
1291,Girish,26,85
1292,Ishita,20,43
1293,Qasim,29,54
1294,Hritik,19,92
1295,Lucky,29,67
1296,Ijaya,43,80
1297,Vedant,31,69
1298,Zehaan,36,27
1299,Hredhaan,20,20
1300,Gunbir,33,35
1301,Henry,40,27
1302,Shivansh,39,96
1303,Nachiket,36,50
1304,Daksha,47,85
1305,Amruta,49,55
1306,Omya,33,41
1307,Isaiah,18,3
1308,Anamika,58,83
1309,Falguni,35,81
1310,Devansh,26,33
1311,Vasatika,21,61
1312,Finn,35,67
1313,Xiti,55,19
1314,Vasatika,26,59
1315,Aarush,34,59
1316,Ekalinga,40,78
1317,Omya,20,55
1318,Banjeet,23,30
1319,Dipta,43,73
1320,Ranveer,23,3
1321,Lucky,32,41
1322,Gopal,49,4
1323,Lopa,36,11
1324,Hamsini,18,72
1325,Kabir,45,44
1326,Kashvi,37,44
1327,Jackson,38,75
1328,Faris,39,99
1329,Nidhi,44,87
1330,Kala,60,13
1331,Veda,55,40
1332,Bhanumati,38,32
1333,Panini,55,71
1334,Saksham,36,78
1335,Neel,19,19
1336,Ria,54,25
1337,Upkaar,43,44
1338,Kabir,34,17
1339,Manya,29,80
1340,Ishwar,47,11
1341,Gayathri,37,40
1342,Kevin,53,93
1343,Zashil,59,36
1344,Raksha,37,42
1345,Xiti,45,32
1346,Samesh,32,84
1347,Irya,40,22
1348,Advika,46,86
1349,Avni,40,78
1350,Brinda,30,75
1351,Neelima,39,77
1352,Manbir,50,80
1353,Baghyawati,52,51
1354,Chandresh,42,38
1355,Amaira,26,10
1356,Orinder,34,59
1357,Unni,38,9
1358,Ira,20,18
1359,Siya,54,35
1360,Jonathan,54,2
1361,Henry,21,56
1362,Janani,39,35
1363,Isha,56,6
1364,Xalak,23,29
1365,Chakrika,28,37
1366,Ojasvi,37,88
1367,Adya,27,95
1368,Tanvi,43,55
1369,Ucchal,48,6
1370,Fariq,58,25
1371,Baghyawati,41,82
1372,Nidhi,58,10
1373,Nilima,56,68
1374,Lopa,43,78
1375,Alka,58,78
1376,Gagan,35,93
1377,Isaac,58,84
1378,Yashawini,36,40
1379,Fitan,51,79
1380,Ikshita,21,14
1381,Hitesh,19,80
1382,Yutika,31,77
1383,Fiyaz,55,39
1384,Chakradhar,38,68
1385,Dhriti,45,41
1386,Leela,41,25
1387,Daniel,49,36
1388,Max,36,67
1389,Yashica,33,71
1390,Kala,36,68
1391,Vedika,35,59
1392,Hritik,32,23
1393,Warinder,51,37
1394,Udyati,40,12
1395,Vinaya,39,22
1396,Garima,24,9
1397,Ayaan,36,19
1398,Bimala,58,88
1399,Hema,41,86
1400,Wridesh,54,42
1401,Yahvi,57,26
1402,Ganga,46,64
1403,Teerth,44,37
1404,Utkarsh,29,37
1405,Avni,41,28
1406,Ekapad,50,100
1407,Anya,18,27
1408,Liam,39,93
1409,Janani,37,89
1410,Bishakha,58,10
1411,Gabriel,28,44
1412,Krishna,47,78
1413,Mohammed,20,61
1414,Bakhshi,49,44
1415,Hema,22,14
1416,Jason,25,4
1417,Rayaan,34,62
1418,Meera,33,47
1419,Anvi,36,67
1420,Chakradhar,58,83
1421,Deepa,44,70
1422,Vasudha,21,5
1423,Chaitaly,38,43
1424,Lipika,58,35
1425,Wridesh,32,71
1426,Shaurya,52,100
1427,Hemang,48,84
1428,Balvan,34,94
1429,Anamika,26,31
1430,Hardik,57,26
1431,Samar,21,49
1432,Devansh,39,92
1433,Warinder,23,21
1434,Arjun,59,43
1435,Urmi,33,90
1436,Oliver,25,6
1437,Divya,40,19
1438,Darika,24,97
1439,Gaurav,56,24
1440,Neel,19,26
1441,Kamya,48,45
1442,Girindra,48,46
1443,Lakshit,25,65
1444,Chandresh,28,74
1445,Rachita,21,57
1446,Anay,38,14
1447,Anika,23,1
1448,Veer,33,43
1449,Vivaan,49,84
1450,Yochana,41,58
1451,Janaki,57,35
1452,Suhani,53,44
1453,Fariq,45,46
1454,Nathan,48,49
1455,Ryan,25,100
1456,Xiti,34,39
1457,Noah,48,66
1458,Nihal,21,19
1459,Hredhaan,36,18
1460,Abdul,20,55
1461,Veda,60,78
1462,Charan,52,15
1463,Vyanjana,38,30
1464,Omkaar,32,41
1465,Patrick,48,95
1466,Tristan,46,46
1467,Chandran,24,81
1468,Deepa,27,68
1469,Vedhika,49,24
1470,Gautami,30,21
1471,Daksh,57,70
1472,Ijaya,60,53
1473,Dayamai,49,77
1474,Mugdha,55,42
1475,Anusha,26,23
1476,Aarna,52,86
1477,Ojas,21,29
1478,Deepa,41,36
1479,Urvashi,28,82
1480,Kamala,30,36
1481,Gautami,48,83
1482,Vrinda,26,20
1483,Dhriti,41,2
1484,Frederick,54,45
1485,Nisha,23,26
1486,Omaja,46,54
1487,Indira,19,31
1488,Tanish,51,45
1489,Yashawini,45,68
1490,Manbir,29,4
1491,Nilima,35,57
1492,Gagan,29,38
1493,Jack,48,75
1494,Rishi,23,42
1495,Geetika,25,88
1496,Max,43,90
1497,Harrison,38,83
1498,David,41,18
1499,Shivansh,41,96
1500,Dalbir,45,38
1501,Jack,42,61
1502,Fiyaz,46,40
1503,Januja,48,85
1504,Lekha,45,36
1505,Vedhika,27,59
1506,Lipika,59,40
1507,Faras,41,51
1508,Eshana,56,98
1509,Jeevika,53,34
1510,Anay,42,50
1511,Hardik,22,86
1512,Alka,47,5
1513,Ronith,27,97
1514,Forum,26,75
1515,Madhav,47,72
1516,Kamya,39,81
1517,Aahana,29,92
1518,Pranav,52,87
1519,Rehaan,22,22
1520,Raagini,28,34
1521,Warhi,37,21
1522,Patrick,34,37
1523,Darpan,59,86
1524,Chaitanya,32,99
1525,Sarthak,53,4
1526,Mekhala,31,36
1527,Yashoda,30,2
1528,Logan,39,46
1529,Saanvi,22,87
1530,Radha,46,79
1531,Riya,30,95
1532,Girik,21,16
1533,Laban,54,18
1534,Ikshita,21,84
1535,Faqid,56,16
1536,Eshana,57,64
1537,Hema,25,76
1538,Upadhriti,30,1
1539,Abhiram,46,94
1540,Lila,51,43
1541,Tristan,29,22
1542,Oni,53,52
1543,Janya,42,85
1544,Kiaan,55,31
1545,Shaurya,20,64
1546,Priya,21,56
1547,Neha,46,13
1548,Utkarsh,25,62
1549,Nidhi,37,92
1550,Dayamai,59,6
1551,Baghyawati,38,77
1552,Zarna,51,15
1553,Hiral,23,8
1554,Udyati,24,73
1555,Upkaar,22,11
1556,Raghav,53,95
1557,Umang,33,14
1558,Adya,60,84
1559,Varenya,19,71
1560,Watika,46,33
1561,Faraj,31,69
1562,Nidra,35,82
1563,Hredhaan,58,100
1564,Janani,56,34
1565,Dakshesh,29,42
1566,Ishanvi,45,54
1567,Rajeshri,37,39
1568,Bina,52,22
1569,Aayush,27,97
1570,Warjas,41,3
1571,Avi,19,51
1572,Champak,60,7
1573,Amruta,31,34
1574,Oviya,44,80
1575,Veer,35,52
1576,Gopal,47,11
1577,Praneel,36,71
1578,Simon,47,94
1579,Lipika,22,46
1580,Zaid,44,69
1581,Oni,36,49
1582,Chakradhar,24,18
1583,Raghav,48,38
1584,Manan,40,46
1585,Aashi,51,77
1586,Ansh,36,41
1587,Vedika,56,63
1588,Yauvani,57,54
1589,Alka,34,23
1590,Rushil,43,90
1591,Pavani,60,55
1592,Jagat,38,84
1593,Wriddhish,24,42
1594,Qadim,18,42
1595,Vedant,47,90
1596,Zilmil,42,82
1597,Isaiah,26,51
1598,Nathan,56,51
1599,Karan,56,76
1600,Saanvi,39,47
1601,Amara,42,32
1602,Vyanjana,41,39
1603,Gavin,34,9
1604,Gayathri,33,88
1605,Chasmum,38,48
1606,Faraj,22,31
1607,Balendra,40,67
1608,Benjamin,29,59
1609,Damini,24,62
1610,Prisha,49,91
1611,Inaya,54,72
1612,Jyoti,56,89
1613,Tripti,39,41
1614,Gaurika,30,17
1615,Azaan,55,92
1616,Amruta,47,39
1617,Triveni,56,24
1618,Arin,47,51
1619,Girik,48,73
1620,Ekani,31,28
1621,Farhan,59,88
1622,Rachana,28,11
1623,Peter,53,68
1624,Ishwar,42,37
1625,Netra,28,62
1626,Priya,43,91
1627,Rayaan,27,34
1628,Ekalinga,59,48
1629,Vamakshi,40,100
1630,Ira,37,12
1631,Kritika,31,23
1632,Anthony,59,21
1633,Aachal,54,96
1634,Ekbal,20,21
1635,Ijaya,46,64
1636,Lipika,35,19
1637,Watika,20,46
1638,Jeremiah,21,65
1639,Chandran,30,17
1640,Ronith,42,24
1641,Kritika,39,84
1642,Lavanya,21,86
1643,Saumya,50,79
1644,Ranbir,27,13
1645,Leela,54,64
1646,Shravya,18,56
1647,Manthan,51,86
1648,Sneha,19,4
1649,Damini,36,14
1650,Nihal,20,10
1651,Meghana,48,35
1652,Zinal,21,49
1653,Sarthak,22,13
1654,Odika,29,65
1655,Ucchal,44,55
1656,Faraj,37,86
1657,Zaitra,19,95
1658,Upma,25,78
1659,Henry,21,24
1660,Manya,36,80
1661,Unnati,38,98
1662,Aarav,27,18
1663,Neha,26,43
1664,Dalaja,58,14
1665,Ekavir,52,20
1666,Jack,30,78
1667,Pooja,44,55
1668,Chaaya,58,59
1669,Bakhshi,45,57
1670,Harshil,48,84
1671,Gaurang,21,26
1672,Bachittar,44,26
1673,Bhavika,36,84
1674,Kamala,58,98
1675,Triya,18,53
1676,Unnati,18,43
1677,Niharika,51,40
1678,William,27,36
1679,Bakhshi,50,30
1680,Anita,19,1
1681,Yuvraj,41,2
1682,Andrew,18,31
1683,Oeshi,50,90
1684,Arin,59,33
1685,Baghyawati,37,86
1686,Utkarsh,41,33
1687,Gaurika,59,100
1688,Anika,35,47
1689,Madhav,52,44
1690,Jeremiah,38,23
1691,Tripti,30,10
1692,Tanveer,56,15
1693,Ekbal,27,62
1694,Yashica,31,88
1695,Rehaan,44,67
1696,Wazir,34,80
1697,Vritti,54,59
1698,Kamya,20,12
1699,Utkarsh,27,63
1700,Jeet,51,79
1701,Anika,59,50
1702,Dayita,57,53
1703,Xiti,30,12
1704,Maya,45,76
1705,Zehaan,54,97
1706,Xiti,39,20
1707,Harsh,27,46
1708,Lakshit,35,92
1709,Tarak,46,23
1710,Warhi,38,71
1711,Nidra,20,52
1712,Fariq,41,87
1713,Krisha,42,60
1714,Omya,53,24
1715,Jeet,40,2
1716,Rayaan,41,8
1717,Shivansh,57,38
1718,Michael,52,58
1719,Rudra,25,67
1720,Chanchal,38,64
1721,Jairaj,23,56
1722,Bishakha,56,44
1723,Arunima,34,31
1724,Pushti,27,96
1725,Ishwar,35,4
1726,Wyatt,32,79
1727,Gautami,53,63
1728,Yuvraj,23,45
1729,Victor,47,94
1730,Nathaniel,48,47
1731,Orinder,33,78
1732,Samuel,34,53
1733,Advay,49,97
1734,Zashil,34,61
1735,Harrison,43,48
1736,Yashasvi,40,43
1737,Vasudha,32,95
1738,Abha,58,83
1739,Pooja,53,56
1740,Anirudh,51,73
1741,Tristan,50,33
1742,Fitan,45,4
1743,Finn,34,37
1744,Nathan,20,27
1745,Gaurangi,51,78
1746,Vrishti,38,81
1747,Ryan,58,63
1748,Lajita,18,66
1749,Saumya,33,47
1750,Ira,60,47
1751,Bhavna,58,76
1752,Tejas,20,84
1753,Daniel,25,39
1754,Faqid,56,100
1755,Harini,27,21
1756,Isaac,41,17
1757,Wyatt,46,45
1758,Shravya,36,58
1759,Yochana,28,79
1760,Christopher,41,94
1761,Madhav,56,17
1762,Yochana,28,36
1763,Tamanna,58,28
1764,Urvashi,30,87
1765,Anvi,31,11
1766,Hitesh,35,74
1767,Hiral,32,38
1768,Ranbir,37,60
1769,Yasti,52,75
1770,Atharv,33,100
1771,Avi,22,15
1772,Laksh,39,66
1773,Geetika,55,21
1774,Falak,35,59
1775,Yoshita,44,91
1776,Ladli,25,23
1777,Gaurika,21,95
1778,Mahika,42,100
1779,Rachana,58,90
1780,Amara,53,14
1781,Krish,59,14
1782,Harsh,25,42
1783,Dev,21,81
1784,Jyoti,47,29
1785,Varsha,27,91
1786,Kamya,32,33
1787,Bina,57,50
1788,Lucky,20,79
1789,Farhan,47,72
1790,Avni,27,1
1791,Fariq,24,86
1792,Falan,47,40
1793,Mohammed,59,85
1794,Harini,39,50
1795,Dalaja,48,85
1796,Raagini,45,14
1797,Riya,24,27
1798,Harish,20,60
1799,Manbir,22,18
1800,Qarin,24,40
1801,Aarini,21,16
1802,Advika,56,79
1803,Yashasvi,43,35
1804,Wridesh,51,95
1805,Bhavya,42,33
1806,Naveen,51,71
1807,Maya,53,10
1808,Gaurangi,26,15
1809,Gautam,18,24
1810,Kevin,25,9
1811,Onveer,37,5
1812,Upkaar,27,66
1813,Utkarsh,60,1
1814,Zaitra,24,73
1815,Chanakya,40,74
1816,Fitan,38,59
1817,Zashil,36,49
1818,Indrajit,38,1
1819,Manan,41,55
1820,Yuvraj,19,91
1821,Aishani,42,72
1822,Radha,37,26
1823,Samar,43,40
1824,Janya,40,30
1825,Pratyush,28,38
1826,Yashoda,35,31
1827,Mohammed,21,67
1828,Faris,41,85
1829,Ekapad,19,46
1830,Vyanjana,37,26
1831,Eshana,25,31
1832,Pallavi,22,38
1833,Logan,36,76
1834,Aadhya,52,37
1835,Sara,53,50
1836,Bhavini,24,42
1837,Karan,28,70
1838,Vasudha,32,28
1839,Kala,39,45
1840,Vedhika,49,70
1841,Yochana,26,71
1842,Aahana,42,64
1843,Sarthak,55,14
1844,Jatin,59,21
1845,Naksh,46,37
1846,Anya,27,69
1847,Ekalinga,48,1
1848,Eshana,23,35
1849,Upadhriti,50,78
1850,Laksh,29,88
1851,Tristan,37,61
1852,Bahadurjit,24,100
1853,Yasti,59,6
1854,Wazir,55,94
1855,Ikbal,55,75
1856,Tanmayi,23,58
1857,Suhani,47,53
1858,Zehaan,22,91
1859,Baghyawati,29,83
1860,Yatin,44,90
1861,Alexander,56,56
1862,Faraj,43,23
1863,Vasudha,33,11
1864,Bhavini,26,79
1865,Ryan,46,40
1866,Irya,52,26
1867,Dhruv,55,38
1868,Chakradhar,27,52
1869,Dakshesh,43,61
1870,Max,19,51
1871,Owen,45,62
1872,Yug,38,87
1873,Bhavna,43,59
1874,Jack,51,92
1875,Azad,55,42
1876,Sai,47,84
1877,Bhanumati,46,94
1878,Yash,35,6
1879,Sai,46,17
1880,Hemal,46,59
1881,George,58,31
1882,Manthan,60,30
1883,Henry,20,22
1884,Farhan,18,62
1885,Nidhi,19,12
1886,Vihaan,28,22
1887,Lakshit,24,63
1888,Nicholas,50,48
1889,Rachita,34,93
1890,George,25,86
1891,Zansi,20,62
1892,Devansh,36,96
1893,Harish,34,81
1894,Wyatt,39,33
1895,Manthan,24,33
1896,Inaya,50,62
1897,Viraj,52,49
1898,Vedika,23,96
1899,Omkaar,59,46
1900,Devansh,59,68
1901,Hardik,39,86
1902,Yasti,56,94
1903,Ishani,30,68
1904,Vihaan,50,96
1905,Falak,30,81
1906,Dipta,40,37
1907,Niharika,48,22
1908,Lopa,18,28
1909,Madhavi,38,12
1910,Wakeeta,28,90
1911,Mugdha,30,48
1912,Fariq,20,68
1913,Daksh,20,72
1914,Jeremiah,27,29
1915,Ira,27,10
1916,Ishita,22,54
1917,Jason,37,50
1918,Ekansh,45,79
1919,Ayush,56,72
1920,Pooja,59,75
1921,Harish,31,62
1922,Isaiah,22,76
1923,Nilima,55,54
1924,Liam,31,39
1925,Keya,59,71
1926,Viraj,24,6
1927,Abha,24,76
1928,Ethan,57,29
1929,Wishi,22,32
1930,Eshana,48,63
1931,Elijah,40,54
1932,Frederick,33,12
1933,Chanakya,30,80
1934,Vinaya,35,34
1935,Varenya,44,47
1936,Tripti,18,72
1937,Balvan,23,3
1938,Shaurya,53,93
1939,Naveen,55,50
1940,Priya,57,26
1941,Kashvi,33,41
1942,Vasudha,18,51
1943,Banjeet,47,72
1944,Arjun,50,32
1945,Udarsh,33,96
1946,Agastya,33,5
1947,Chavvi,48,83
1948,Gaurang,24,40
1949,Upadhriti,55,12
1950,Bhavani,46,9
1951,Deepa,27,13
1952,Jagdish,20,38
1953,Samarth,35,80
1954,Dayamai,31,7
1955,Rohan,19,3
1956,Rajata,31,60
1957,Devika,42,28
1958,Liam,57,100
1959,Shivani,26,90
1960,Girik,55,37
1961,Siya,48,99
1962,Champak,36,32
1963,Gaurangi,31,25
1964,Chandresh,55,60
1965,Nisha,43,55
1966,Sachi,45,89
1967,Anirudh,45,5
1968,Sathvik,40,87
1969,Simon,18,61
1970,Urvashi,27,23
1971,Forum,59,32
1972,Ranveer,43,52
1973,Divya,54,89
1974,Arunima,29,41
1975,Raksha,39,55
1976,Chandran,39,17
1977,Vivaan,55,82
1978,Ikbal,24,93
1979,Garima,45,56
1980,Tanish,36,59
1981,Bhavani,31,5
1982,Jairaj,26,80
1983,Lekha,51,52
1984,Qarin,35,6
1985,Mugdha,45,88
1986,Yamini,55,92
1987,Hritik,47,63
1988,Oliver,42,94
1989,Manbir,37,35
1990,Tristan,46,59
1991,Rishi,18,88
1992,Max,39,68
1993,Udarsh,26,34
1994,Finn,43,92
1995,Onveer,56,72
1996,Watika,46,86
1997,David,38,83
1998,Sara,53,3
1999,Lavanya,25,2
2000,Rayaan,31,10
